Date,MinTemp,MaxTemp,Rainfall,RainToday,Evaporation,Sunshine,AvgHumidity,AvgPressure,AvgCloud
2/1/2013,19.5,22.4,15.6,Yes,6.2,0,88,1017.5,8
2/2/2013,19.5,25.6,6,Yes,3.4,2.7,78,1017.15,7
2/3/2013,21.6,24.5,6.6,Yes,2.4,0.1,87,1016.15,7.5
2/4/2013,20.2,22.8,18.8,Yes,2.2,0,86.5,1013,8
2/5/2013,19.7,25.7,77.4,Yes,4.8,0,81,1006.55,8
2/6/2013,20.2,27.2,1.6,Yes,2.6,8.6,65.5,1000.65,6
2/7/2013,18.6,26.3,6.2,Yes,5.2,5.2,77.5,999.65,5.5
2/8/2013,17.2,22.3,27.6,Yes,5.8,2.1,69,1007.85,7.5
2/9/2013,16.4,20.8,12.6,Yes,4.8,3,91.5,1007,7
2/10/2013,14.6,24.2,8.8,No,4.4,10.1,66.5,1013.7,3
2/11/2013,16.4,23.9,0,No,6.4,8,65.5,1016.45,7.5
2/12/2013,18.9,27.3,0,Yes,6.8,6.7,67.5,1009.1,7
2/13/2013,18.4,22.8,14.4,Yes,7,3.3,78.5,1010.45,7.5
2/14/2013,16.9,24.3,3,No,3.2,8.7,66,1016.85,4
2/15/2013,18.3,24.4,0,No,6.2,8.5,68,1019.55,5
2/16/2013,16.7,24.1,0,No,6.2,8.8,64.5,1022.8,6.5
2/17/2013,19.5,24.8,0,No,7.6,3.2,62.5,1023.9,7
2/18/2013,18.6,25.3,0,No,4.2,4.5,64.5,1020.55,6.5
2/19/2013,19,24.8,0,No,5.2,7.5,72,1016.7,7
2/20/2013,18.3,26.4,0,No,4.6,11.1,70,1012.1,2
2/21/2013,20.6,26.8,0,No,6.8,6.4,74,1010.55,7
2/22/2013,19.1,25.4,0.4,No,4.4,9.4,71.5,1006.15,2.5
2/23/2013,20.5,26,0,No,6.6,12.2,41.5,1007.2,1
2/24/2013,16.5,28.3,0,No,8.6,12,44,1007.95,0
2/25/2013,20.5,24.2,0,No,8.6,1.5,56,1017.2,7
2/26/2013,19.3,26.2,0,Yes,3.6,8.4,69,1016.95,3.5
2/27/2013,19,29,22.2,Yes,8.2,3.3,67,1012.35,7
2/28/2013,17.9,21.4,4.2,Yes,4.2,0,82.5,1010.05,8
